Service Area	Service	Service Description
AI & machine learning	Anomaly Detector	Easily add anomaly detection capabilities to your apps.
AI & machine learning	Azure Bot Services	Create bots and connect them across channels
AI & machine learning	Azure Cognitive Search	Enterprise scale search for app development
AI & machine learning	Azure Databricks	Design AI with Apache Spark™-based analytics
AI & machine learning	Azure Machine Learning	An enterprise-grade service for the end-to-end machine learning lifecycle
AI & machine learning	Azure Open Datasets	Cloud platform to host and share curated open datasets to accelerate development of machine learning models
AI & machine learning	Azure Cognitive Services	Add cognitive capabilities to apps with APIs and AI services
AI & machine learning	Azure Video Analyzer PREVIEW	An AI service for quickly building video analytics solutions
AI & machine learning	Computer Vision	Distill actionable information from images
AI & machine learning	Content Moderator	"Automated image, text, and video moderation"
AI & machine learning	Custom Vision	Easily customize your own state-of-the-art computer vision models for your unique use case
AI & machine learning	Data Science Virtual Machines	Rich pre-configured environment for AI development
AI & machine learning	Face API	"Detect, identify, analyze, organize, and tag faces in photos"
AI & machine learning	Azure Form Recognizer	The AI-powered document extraction service that understands your forms
AI & machine learning	Azure Immersive Reader	Empower users of all ages and abilities to read and comprehend text
AI & machine learning	Kinect DK	Build for mixed reality using AI sensors
AI & machine learning	Language Understanding (LUIS)	Teach your apps to understand commands from your users
AI & machine learning	Microsoft Genomics	Power genome sequencing & research insights
AI & machine learning	Personalizer	"Deliver personalized, relevant experiences for each of your users"
AI & machine learning	Project Bonsai PREVIEW	Create intelligent industrial control systems using simulations
AI & machine learning	QnA Maker	"Distill information into conversational, easy-to-navigate answers"
AI & machine learning	Speaker recognition	A Speech service feature that verifies and identifies speakers
AI & machine learning	Speech to text	A Speech service feature that accurately converts spoken audio to text
AI & machine learning	Speech translation	Easily integrate real-time speech translation to your app
AI & machine learning	Cognitive Service for Language	Add natural language capabilities with a single API call
AI & machine learning	Text to speech	A Speech service feature that converts text to lifelike speech
AI & machine learning	Translator	Easily conduct machine translation with a simple REST API call
AI & machine learning	Azure Metrics Advisor	An AI service that monitors metrics and diagnoses issues
AI & machine learning	Health Bot	A managed service purpose-built for development of virtual healthcare assistants
AI & machine learning	Azure Percept PREVIEW	Accelerate edge intelligence from silicon to service
AI & machine learning	Azure Applied AI Services	Specialized services that enable organizations to accelerate time to value in applying AI to solve common scenarios
AI & machine learning	Azure OpenAI Service PREVIEW	Apply advanced language models to a variety of use cases
Analytics	Azure Analysis Services	Enterprise-grade analytics engine as a service
Analytics	Azure Data Explorer	Fast and highly scalable data exploration service
Analytics	Azure Data Factory	"Hybrid data integration at enterprise scale, made easy"
Analytics	Azure Data Lake Storage	"Scalable, secure data lake for high-performance analytics"
Analytics	Azure Data Lake Storage Gen1	Hyperscale repository for big data analytics workloads
Analytics	Azure Data Share	A simple and safe service for sharing big data with external organizations
Analytics	Azure Databricks	Design AI with Apache Spark™-based analytics
Analytics	Azure Stream Analytics	Real-time analytics on fast-moving streaming data
Analytics	Azure Synapse Analytics	Limitless analytics with unmatched time to insight
Analytics	Data Catalog	Get more value from your enterprise data assets
Analytics	Data Lake Analytics	Distributed analytics service that makes big data easy
Analytics	Event Hubs	Receive telemetry from millions of devices
Analytics	HDInsight	"Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters"
Analytics	Power BI Embedded	White label Power BI to quickly and easily provide exceptional customer facing dashboards and analytics in your own applications
Analytics	R Server for HDInsight	"Predictive analytics, machine learning, and statistical modeling for big data"
Analytics	Azure Purview	A unified data governance solution that maximizes the business value of your data
Analytics	Microsoft Graph Data Connect PREVIEW	"A secure, high-throughput connector designed to copy select Microsoft 365 productivity datasets into your Azure tenant"
Analytics	Azure Chaos Studio PREVIEW	Improve application resilience by introducing faults and simulating outages
Compute	App Service	Quickly create powerful cloud apps for web and mobile
Compute	Azure CycleCloud	"Create, manage, operate, and optimize HPC and big compute clusters of any scale"
Compute	Azure Quantum PREVIEW	Accelerate your development lifecycle by building your quantum solution once and running it on multiple systems with little to no change
Compute	Azure Spot Virtual Machines	Provision unused compute capacity at deep discounts to run interruptible workloads
Compute	Azure Spring Cloud	Build and deploy Spring Boot apps with a fully managed service from Microsoft and VMware
Compute	Azure VMware Solution	Run your VMware workloads natively on Azure
Compute	Batch	Cloud-scale job scheduling and compute management
Compute	Cloud Services	"Create highly-available, infinitely-scalable cloud applications and APIs"
Compute	Linux Virtual Machines	"Provision virtual machines for Ubuntu, Red Hat, and more"
Compute	SQL Server on Azure Virtual Machines	Migrate SQL Server workloads to the cloud at lower total cost of ownership (TCO)
Compute	Static Web Apps	Streamlined full-stack development from source code to global high availability
Compute	Virtual Machine Scale Sets	Manage and scale up to thousands of Linux and Windows VMs
Compute	Virtual Machines	Provision Windows and Linux VMs in seconds
Compute	Azure Virtual Desktop	"Enable a secure, remote desktop experience from anywhere"
Compute	Azure Dedicated Host	A dedicated physical server to host your Azure VMs for Windows and Linux
Compute	Azure VM Image Builder	Simplify your image building process with easy to use tool
Compute	Azure Kubernetes Service (AKS)	Deploy and scale containers on managed Kubernetes
Compute	Azure Functions	Execute event-driven serverless code with an end-to-end development experience
Compute	Azure Container Instances	Launch containers with hypervisor isolation
Compute	Azure Service Fabric	"Deploy and operate always-on, scalable, distributed apps"
Containers	App Configuration	"Fast, scalable parameter storage for app configuration"
Containers	Azure Kubernetes Service (AKS)	Deploy and scale containers on managed Kubernetes
Containers	Azure Red Hat OpenShift	Deploy and scale containers on managed Red Hat OpenShift
Containers	Azure Container Apps PREVIEW	Build and deploy modern apps and microservices using serverless containers
Containers	Azure Functions	Execute event-driven serverless code with an end-to-end development experience
Containers	Web App for Containers	Run containerized web apps on Windows and Linux
Containers	Azure Container Instances	Launch containers with hypervisor isolation
Containers	Azure Service Fabric	"Deploy and operate always-on, scalable, distributed apps"
