Category,Name,Documentation URL
Compute,Azure Virtual Machines,https://docs.microsoft.com/azure/virtual-machines/
Compute,Azure App Service,https://docs.microsoft.com/azure/app-service/
Compute,Azure Functions,https://docs.microsoft.com/azure/azure-functions/
Compute,Azure Kubernetes Service (AKS),https://docs.microsoft.com/azure/aks/
Compute,Azure Batch,https://docs.microsoft.com/azure/batch/
Compute,Azure Container Instances,https://docs.microsoft.com/azure/container-instances/
Compute,Azure Logic Apps,https://docs.microsoft.com/azure/logic-apps/
Compute,Azure Service Fabric,https://docs.microsoft.com/azure/service-fabric/
Compute,Azure Spring Cloud,https://docs.microsoft.com/azure/spring-cloud/
Compute,Azure Virtual Desktop,https://docs.microsoft.com/azure/virtual-desktop/
Networking,Azure Virtual Network,https://docs.microsoft.com/azure/virtual-network/
Networking,Azure ExpressRoute,https://docs.microsoft.com/azure/expressroute/
Networking,Azure Load Balancer,https://docs.microsoft.com/azure/load-balancer/
Networking,Azure VPN Gateway,https://docs.microsoft.com/azure/vpn-gateway/
Networking,Azure Firewall,https://docs.microsoft.com/azure/firewall/
Networking,Azure Content Delivery Network (CDN),https://docs.microsoft.com/azure/cdn/
Networking,Azure Bastion,https://docs.microsoft.com/azure/bastion/
Networking,Azure Traffic Manager,https://docs.microsoft.com/azure/traffic-manager/
Storage,Azure Blob Storage,https://docs.microsoft.com/azure/storage/blobs/
Storage,Azure File Storage,https://docs.microsoft.com/azure/storage/files/
Storage,Azure Queue Storage,https://docs.microsoft.com/azure/storage/queues/
Storage,Azure Disk Storage,https://docs.microsoft.com/azure/virtual-machines/disks-types/
Storage,Azure Data Lake Storage,https://docs.microsoft.com/azure/storage/blobs/data-lake-storage-introduction
Storage,Azure Backup,https://docs.microsoft.com/azure/backup/
Storage,Azure Data Box,https://docs.microsoft.com/azure/databox/
Storage,Azure StorSimple,https://docs.microsoft.com/azure/storsimple/
Databases,Azure SQL Database,https://docs.microsoft.com/azure/sql-database/
Databases,Azure Cosmos DB,https://docs.microsoft.com/azure/cosmos-db/
Databases,Azure Database for MySQL,https://docs.microsoft.com/azure/mysql/
Databases,Azure Database for PostgreSQL,https://docs.microsoft.com/azure/postgresql/
Databases,Azure Cache for Redis,https://docs.microsoft.com/azure/azure-cache-for-redis/
Databases,Azure Synapse Analytics (formerly SQL Data Warehouse),https://docs.microsoft.com/azure/synapse-analytics/
Databases,Azure Database Migration Service,https://docs.microsoft.com/azure/dms/
Databases,Azure SQL Data Warehouse,https://docs.microsoft.com/azure/sql-data-warehouse/
Databases,Azure SQL Managed Instance,https://docs.microsoft.com/azure/azure-sql/managed-instance/
AI & Machine Learning,Azure Machine Learning,https://docs.microsoft.com/azure/machine-learning/
AI & Machine Learning,Azure Cognitive Services,https://docs.microsoft.com/azure/cognitive-services/
AI & Machine Learning,Azure Databricks,https://docs.microsoft.com/azure/azure-databricks/
AI & Machine Learning,Azure Bot Service,https://docs.microsoft.com/azure/bot-service/
AI & Machine Learning,Azure Personalizer,https://docs.microsoft.com/azure/cognitive-services/personalizer/
AI & Machine Learning,Azure Custom Vision,https://docs.microsoft.com/azure/cognitive-services/custom-vision-service/
AI & Machine Learning,Azure Speech Service,https://docs.microsoft.com/azure/cognitive-services/speech-service/
AI & Machine Learning,Azure Translator,https://docs.microsoft.com/azure/cognitive-services/translator/
Analytics & Big Data,Azure Data Factory,https://docs.microsoft.com/azure/data-factory/
Analytics & Big Data,Azure HDInsight,https://docs.microsoft.com/azure/hdinsight/
Analytics & Big Data,Azure Synapse Analytics (formerly SQL Data Warehouse),https://docs.microsoft.com/azure/synapse-analytics/
Analytics & Big Data,Azure Stream Analytics,https://docs.microsoft.com/azure/stream-analytics/
Analytics & Big Data,Azure Databricks,https://docs.microsoft.com/azure/azure-databricks/
Analytics & Big Data,Azure Data Lake Analytics,https://docs.microsoft.com/azure/data-lake-analytics/
Analytics & Big Data,Azure Data Explorer,https://docs.microsoft.com/azure/data-explorer/
IoT,Azure IoT Hub,https://docs.microsoft.com/azure/iot-hub/
IoT,Azure IoT Central,https://docs.microsoft.com/azure/iot-central/
IoT,Azure IoT Edge,https://docs.microsoft.com/azure/iot-edge/
IoT,Azure Time Series Insights,https://docs.microsoft.com/azure/time-series-insights/
IoT,Azure IoT Sphere,https://docs.microsoft.com/azure/iot-sphere/
Security & Identity,Azure Active Directory,https://docs.microsoft.com/azure/active-directory/
Security & Identity,Azure Key Vault,https://docs.microsoft.com/azure/key-vault/
Security & Identity,Azure Security Center,https://docs.microsoft.com/azure/security-center/
Security & Identity,Azure Sentinel,https://docs.microsoft.com/azure/sentinel/
Security & Identity,Azure Identity Protection,https://docs.microsoft.com/azure/active-directory/identity-protection/
Security & Identity,Azure Information Protection,https://docs.microsoft.com/azure/information-protection/
Security & Identity,Azure Advanced Threat Protection,https://docs.microsoft.com/azure/advanced-threat-analytics/
DevOps,Azure DevOps Services,https://docs.microsoft.com/azure/devops/
DevOps,Azure DevTest Labs,https://docs.microsoft.com/azure/devtest-labs/
